Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/Partition.java,234,6,1,234,39,1215,505,202.5,39,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/OpaqueTridentEventHubSpout.java,384,6,1,384,64,1215,505,202.5,64,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/OpaqueTridentEventHubEmitter.java,414,6,1,414,69,1215,505,202.5,69,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/ITridentPartitionManagerFactory.java,156,6,1,156,26,1215,505,202.5,26,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/ITridentPartitionManager.java,210,6,1,210,35,1215,505,202.5,35,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/Coordinator.java,360,6,1,360,60,1215,505,202.5,60,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/ZookeeperStateStore.java,570,6,1,570,95,1215,505,202.5,95,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/StaticPartitionCoordinator.java,513,9,1,510,85,1369,505,152.11111,56.666668,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/SimplePartitionManager.java,828,9,1,816,136,1369,505,152.11111,90.666664,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/PartitionManager.java,606,6,1,606,101,1215,505,202.5,101,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/MessageId.java,336,6,1,336,56,1215,505,202.5,56,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IStateStore.java,186,6,1,186,31,1215,505,202.5,31,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IPartitionManagerFactory.java,198,6,1,198,33,1215,505,202.5,33,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IPartitionManager.java,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IPartitionCoordinator.java,162,6,1,162,27,1215,505,202.5,27,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IEventHubReceiverFilter.java,210,6,1,210,35,1215,505,202.5,35,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IEventHubReceiverFactory.java,180,6,1,180,30,1215,505,202.5,30,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IEventHubReceiver.java,216,9,1,210,35,1369,505,152.11111,23.333334,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/IEventDataScheme.java,180,6,1,180,30,1215,505,202.5,30,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/FieldConstants.java,150,6,1,150,25,1215,505,202.5,25,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubSpoutException.java,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubSpoutConfig.java,1310,10,1,1133,165,1383,505,138.3,113.3,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubSpout.java,1563,9,1,1563,258,1360,505,151.11111,173.66667,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubReceiverImpl.java,1014,11,1,928,150,1384,505,125.818184,84.36364,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventHubReceiverFilter.java,336,6,1,336,56,1215,505,202.5,56,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventDataScheme.java,330,6,1,330,55,1215,505,202.5,55,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/spout/EventData.java,288,6,1,288,48,1215,505,202.5,48,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/bolt/PartialCountBolt.java,378,6,1,378,63,1215,505,202.5,63,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/bolt/GlobalCountBolt.java,498,6,1,498,83,1215,505,202.5,83,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/TransactionalTridentEventCount.java,486,6,1,486,81,1215,505,202.5,81,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/OpaqueTridentEventCount.java,318,6,1,318,53,1215,505,202.5,53,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/EventHubLoop.java,423,10,1,312,51,1368,505,136.8,31.2,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/EventCount.java,939,9,1,936,155,1360,505,151.11111,104,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/samples/AtMostOnceEventCount.java,324,6,1,324,54,1215,505,202.5,54,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/SelectorFilterWriter.java,384,6,1,384,64,1215,505,202.5,64,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/SelectorFilter.java,228,6,1,228,38,1215,505,202.5,38,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubSender.java,764,8,1,570,95,1237,505,154.625,71.25,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubSendClient.java,420,6,1,420,70,1215,505,202.5,70,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubReceiver.java,834,6,1,834,139,1215,505,202.5,139,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubException.java,222,6,1,222,37,1215,505,202.5,37,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubConsumerGroup.java,432,6,1,432,72,1215,505,202.5,72,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/EventHubClient.java,739,8,1,552,92,1237,505,154.625,69,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/client/Constants.java,192,6,1,192,32,1215,505,202.5,32,true
