Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,No selection,Sensitive threshold,1,9,1088,18,0.1,0.052631579,0.530417886,0.057903952,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,No selection,Sensitive learning,0,0,1097,19,NaN,0,0.808376913,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,No selection,Sensitive learning,3,42,1055,16,0.066666667,0.157894737,0.714412513,0.071520785,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,No selection,Sensitive learning,1,9,1088,18,0.1,0.052631579,0.530417886,0.057903952,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,No selection,No cost sensitive,0,0,1097,19,NaN,0,0.854579475,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,No selection,No cost sensitive,1,19,1078,18,0.05,0.052631579,0.723312383,0.034421476,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,No selection,No cost sensitive,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,No selection,Sensitive threshold,0,0,1097,19,NaN,0,0.854579475,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,No selection,Sensitive threshold,1,19,1078,18,0.05,0.052631579,0.723312383,0.034421476,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,No selection,Sensitive threshold,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,No selection,Sensitive learning,0,0,1097,19,NaN,0,0.829535096,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,No selection,Sensitive learning,1,21,1076,18,0.045454545,0.052631579,0.723312383,0.031077471,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,No selection,Sensitive learning,0,7,1090,19,0,0,0.526891522,-0.009252174,,,,,
